e43987ae07a1e3ba4b1fb63273069028e4e3d2ce,"updating version info
ebecbb1f048e77eea50a99f13e069e4cc81bdd88,"f2py: Allow expressions that contain max/min calls, be used as dimension specifications. Defined macros min/max that are needed when --lower is used. Typical usage case: real a(min(1,n)).
",numpy/f2py/cfuncs.py,numpy/f2py/crackfortran.py
399147b0b20e32bbb0af62db9bc1fe1100770063,"Fix math markup in docstrings.
",numpy/lib/function_base.py,numpy/linalg/linalg.py,numpy/random/mtrand/mtrand.c,numpy/random/mtrand/mtrand.pyx
7ee9981d88525a9b09df86643c15306e1e5f5e58,"Use endian-specific dtypes in tests which construct cross-type views.
",numpy/core/tests/test_multiarray.py
4856e097f52311da379779fd3a99c5a00a1d26b6,"Fix accidentally replaced (r5190, r5193) alltrue code. Diff shows that fromnumeric.py has only docstrings changes from r5189 now.
",numpy/core/fromnumeric.py
89f1a4e66ffaefe0ce7fe969df55821d7b853ba9,"Fix math in Bartlett docstring.
",numpy/lib/function_base.py
689f1439c95b5f4fb2a147b9ff6df81fd45c8cfa,"Remove duplicate `alltrue`.
",numpy/core/fromnumeric.py
51adbb47d6e7a444743d89179c7ab4c22a738f4f,"Indexing tag was correct.  Revert.
",numpy/doc/HOWTO_DOCUMENT.txt
b4e7ec337dadcea8e3fe69bd2364d44877761707,"Fix typo in indexing tag.
",numpy/doc/HOWTO_DOCUMENT.txt
40505ed9548af6a49f052abad9cd8ed36ba102dd,"Merge documentation changes from wiki.
",numpy/add_newdocs.py,numpy/core/fromnumeric.py,numpy/lib/arraysetops.py,numpy/lib/financial.py,numpy/lib/function_base.py,numpy/lib/index_tricks.py
10d7e0872f6ede40f55b47f415a93046523cc904,"Put one example for mkl 10.0 in site.cfg.example.
",site.cfg.example
146479b91b195a9726cbd66ffbd018ebb822d773,"Add --package-list to scons command, to speed-up no-op when working on scipy.
",numpy/distutils/command/scons.py
fa66a9b0215ffd63236cea23e104fc1e440b662f,"Minor update to example docstring.
",numpy/doc/example.py
4ee16c3cc1cd996ba37122d04eb56a8061e8b966,"Update documentation format and example.
",numpy/doc/HOWTO_DOCUMENT.txt,numpy/doc/example.py
cd650e681d0fdaa1f80d0b6551bc44b5f2ac6b1e,"mrecords : fixed fromarrays when importing only one record
extras   : fixed a bug in the naming convention
",numpy/ma/extras.py,numpy/ma/mrecords.py,numpy/ma/tests/test_mrecords.py
4116872c4e907dc80aa5d8b901695e5bbe109acb,"Update example.  Fix reference.
",numpy/doc/HOWTO_DOCUMENT.txt,numpy/doc/example.py
a715ab094ba5258da03c92a77b4549d1f55d1c35,"Update documentation standard.
",numpy/doc/HOWTO_BUILD_DOCS.txt,numpy/doc/HOWTO_DOCUMENT.txt
46768e679bbb8f2beabdafff51696d76e7caa920,"Fix ReST markup in docstrings.
",numpy/lib/function_base.py
f83cffb4d354e1d0b9fed801f36be967bae8b1fe,"get_build_architecture is not available in python 2.4 and older, so use numpy.distutils one. This should fix undiscovered/not reported bug of building numpy with python 2.4 on windows systems.
",numpy/core/setup.py
a6f214891d56b599a25d1ebe0127ecaea7f121af,"f2py: disallow matching module procedure-s as module-s.
",numpy/f2py/crackfortran.py
a0cdbc671e93cad0196d8bbe4f1070c3e484cb45,"Merge `choose` docstring fix from wiki.
",numpy/add_newdocs.py
d5519c47944bf553e63f85bbeed28436cc6cd10a,"Add test for #788 [patch by Eric Firing].
",numpy/core/setup.py,numpy/core/tests/data/astype_copy.pkl,numpy/core/tests/{testdata.fits,numpy/core/tests/test_records.py,numpy/core/tests/test_regression.py
f968b1845073819cf812991436c5968d5a47df1d,"Changed an idiom of appending strings to a buffer. Fixes numpy ticket 792.
",numpy/f2py/src/fortranobject.c
04fb428606f1af32f2de28c1c2afe2dadf9e7747,"Fix the unit tests and eliminate the dimensionality reduction assumption for non base-class arrays.
",numpy/core/src/arrayobject.c,numpy/core/tests/test_defmatrix.py
9bd719a3ecf017e8fd64211597d9a0559502bc2b,"Don't assemble numpy module docstring from several parts; removes duplication
",numpy/__init__.py
48729bf741c6471c500016d12a1d80be494c7906,"Minor reST cleanup in docstrings.
",numpy/add_newdocs.py
e3b120ab28fce1210bb5aea54591077999e1140c,"Merge docstrings from wiki.
",numpy/linalg/linalg.py
d7c77aae2d0766c9af901b3b98a23b0fedd70dc5,"extras  : dropped the m prefix in mediff1d, mvander, mpolyfit
mrecords: fixed __setitem__ to update the mask if needed.
",numpy/ma/core.py,numpy/ma/extras.py,numpy/ma/mrecords.py,numpy/ma/tests/test_extras.py,numpy/ma/tests/test_mrecords.py
8f60b4886081dbb6ba5ce0e6fc854473fd716151,"Restore change to docstring overwritten by wiki merge.
",numpy/lib/io.py
b12d0784116d7740a4ce3be18925d0cf7e7db5df,"Merge docstrings from wiki.
",numpy/__init__.py,numpy/core/defmatrix.py,numpy/lib/io.py
7407ae44ee73f1da902fdc87c496bfc8141a3132,"test
",TEST_COMMIT
45de460b0d7b298449c2dd1d54ed756fb508402d,"the trunk is still cooking 1.1
",numpy/version.py
e8f2d12a1cc5d658648dd9c6ef4f4be6e622790a,"extras: introduced mvander and mpolyfit
",numpy/ma/extras.py,numpy/ma/tests/test_extras.py
b316f21e0bd886c751db19ed8a1ff65b7adaa34b,"Back-out matrix changes from trunk.  This breaks some test which need to be fixed differently.
",numpy/core/defmatrix.py
e3d0fec968a54a144de203a25d52e059b7447065,"Fix ticket #791.
",numpy/core/src/arrayobject.c,numpy/core/src/multiarraymodule.c,numpy/core/tests/test_multiarray.py,numpy/lib/io.py
b6ef006ba71899914ddb2867eba0a95d081c937d,"Fix reST markup.
",numpy/ma/API_CHANGES.txt
45c812ddb75c5efc6bbcb4b099792f2763db11fe,"power               : fixed a bug when a scalar is the first argument
MaskedArray.__pow__ : call power
MaskedArray.__ipow__: works in place. Note that the _data part gets ""fixed"" (NaNs/Infs set to fill_value)
",numpy/ma/core.py,numpy/ma/tests/test_core.py
c2b77e022e8393f057b5b54dc595f35b01a26809,"core : power : use the quick-and-dirty approach: compute everything and mask afterwards
	 : MaskedArray._update_from(obj) : ensure that _baseclass is a ndarray if obj wasn't one already
	 : introduced clip in the namespace, just for convenience
",numpy/ma/core.py,numpy/ma/tests/test_core.py
d6cbaddf167d3c99d4a0aca91fab241e2ae67f90,"Use EquivTypes instead of equality testing for data-type comparison.
",numpy/core/src/arraymethods.c
5345ed1fef98af2ee1253633134f6df47f3a7e04,"Break long line.
Reformat a bit.
Remove trailing whitespace.
",numpy/add_newdocs.py
04bf67f85a353b845ac23bafb87dff5f8c65c827,"Add the out= argument to the clip() function to bring it in line with the .clip() method.
",numpy/core/fromnumeric.py,numpy/core/tests/test_numeric.py
f9e14d93a20a39476cd682e9b46639a4aa5605db,"core : power : mask all negative values when the exponent (b) doesn't satisfy b==b.astype(int)
",numpy/ma/core.py,numpy/ma/tests/test_core.py
c12a094d3d83249cfe742816596ea2b96c347829,"core : power : mask all negative values when the exponent (b) doesn't satisfy (abs(b-int(b))<np.finfo(float).precision)
",numpy/ma/core.py,numpy/ma/tests/test_core.py
8636d9e45565fe75b51efd88ba69d0a3698ab54f,"Moved docstrings to add_newdoc.py; added docstring for the class as a whole which describes __call__. 
",numpy/add_newdocs.py,numpy/core/src/ufuncobject.c
e440221980dedc7f0ecaf4f4f77febe1968975ef,"Docstrings for ufunc methods add, reduce, outer, and the arcane reduceat.
",numpy/core/src/ufuncobject.c
890c8cdef31619faf17ec59e105d8cd47c10fd85,"Test for ticket #551 part of r5140
",numpy/core/tests/test_regression.py
be0d6b02bcb575da26716eb82afa2801a04f4e84,"Additional tests of matrix indexing.
",numpy/core/tests/test_defmatrix.py
20cf50672d6a6ca3e6a7742b9ade62a36c659bb0,"Add some tests for scalar indexing, tolist(), and fancy indexing.
",numpy/core/tests/test_defmatrix.py
bd089c209df73d91fb83e44c8c5c5ad9bda64ca1,"Remove un-needed attribute lookup in 1.2
",numpy/core/defmatrix.py
c32a389417cd22a7fca720f2b1505acbe8560b3d," * Make matrices return 1-dimensional array on item selection for 1.2\n * Remove (now un-needed) tolist method from matrices\n * For ticket #551, copy data if start of memory is not aligned on itemsize location in optimized blas wrapper.
",numpy/core/blasdot/_dotblas.c,numpy/core/defmatrix.py,numpy/core/src/arrayobject.c
7c99e67bb87381a4622cde5e2d244a5f64882485,"core : prevent power to mask negative values when it should not
",numpy/ma/core.py,numpy/ma/tests/test_core.py
a561c0dda3c5c578a12f750af462d9c9b95a61d6,"trunk open for 1.2 development
",numpy/version.py
91c6c401451df57a41e7715c591faedf79ecb581,"core : force .compressed() to return a type(_baseclass) object (usually a ndarray)
	 : fixed a bug in .compressed() when the _baseclass is a matrix
",numpy/ma/core.py,numpy/ma/tests/test_core.py
974b5f54ab552c27ff39e9ae9c63bdfd38c17fbb,"
",numpy/ma/core.py
3682f76224aef4218e65b4aefd9bb428160de6f4,"core : clean up update_from
",numpy/ma/core.py,numpy/ma/mrecords.py,numpy/ma/tests/test_subclassing.py
96b7ac6a2232d81ebdac5c10468423eaef5e7948,"Replace tabs with spaces.
",numpy/doc/swig/numpy.i
0f714da6b0085149b3c16382fc1a7160f02959ab,"Remove trailing whitespace.
",numpy/doc/swig/pyfragments.swg
54a6ea5f084f362394e4cb8feacb9defda59d3bc,"Remove trailing whitespace.
",numpy/doc/swig/numpy.i
1e17c6afc5b0b838bf2dd2b7aa0630cc7ebc2765,"Fix grammar.
",numpy/doc/swig/numpy.i
59bdc5fa4f2ae7425b13d9d33f6776c3d422014f,"Remove dtype_or_type key word in favor of simpler interface.
",numpy/core/src/arraymethods.c
3d336c3ee1143428172d1140925f31e7b9c8fc67,"Suppress test output.
",numpy/lib/tests/test_machar.py
3056ee6f48e54b93e074ab62d8a6fca148b2508d,"Support for Python types in x.view.
",numpy/add_newdocs.py,numpy/core/src/arraymethods.c,numpy/core/tests/test_multiarray.py
c402895302b40a13d200dab577d1b2bc108c4879,"Small cleanup and whitespace removal.
",numpy/core/src/scalartypes.inc.src
e285208a309b44ccc88e28c60140474acb7cc83b,"For x.view, change dtype into keyword argument.
",numpy/add_newdocs.py,numpy/core/src/arraymethods.c,numpy/core/tests/test_multiarray.py
21a7341b383356ba99c10eda9654a4470e1247a0,"core      : fixed a bug w/ array((0,0))/0.
testutils : introduced assert_almost_equal/assert_approx_equal: 
			use assert_almost_equal(a,b,decimal) to compare a and b up to decimal places
			use assert_approx_equal(a,b,decimal) to compare a and b up to b*10.**-decimal
",numpy/ma/core.py,numpy/ma/tests/test_core.py,numpy/ma/testutils.py
233af718df4cf92bad9b93993e11faba5b6fff26,"Check for error and fix spacing.
",numpy/core/src/multiarraymodule.c
59e7bda0f6d189428b7268e0150709bacde8544b,"Disable underflow warning reporting when testing for arch + test (#759).
",numpy/lib/machar.py,numpy/lib/tests/test_machar.py
240d9a2236213e5439a89bf51cfaf0257bf85729,"Keep singular values and eigenvalues as 1D arrays until the matrix indexing
controversy is settled. This will also keep code that uses diag(ev), from
breaking.
",numpy/linalg/linalg.py,numpy/linalg/tests/test_linalg.py
e4d0d765d1ca1784645d836a865e85e4219b0103,"Fix python_xerbla for compilers that do not have inline strlen defined.
",numpy/linalg/python_xerbla.c
cdc4c0abf4ed941ccfd46f785bfe44ca4aeedad5,"Add comments to savetxt.
",numpy/lib/io.py
e311e8d2d6e5f45184022ecba2f975c81caaca37,"Support for multi formatting elements in savetxt [patch by David Huard].
Closes #663.
",numpy/lib/io.py,numpy/lib/tests/test_io.py
e844ca27a66e34bede3e90b5591d28aa0ae1a0e2,"Code style cleanups.
",numpy/core/src/arrayobject.c
56ec2be60ea1cfba72f79c96ee4151cec7be3d06,"Rename and reformat pythonxerbla.
",numpy/linalg/python_xerbla.c,numpy/linalg/pythonxerbla.c,numpy/linalg/setup.py
28b0f986959cb92abc1e53029c100fb16b555e58,"Site.cfg can still have DEFAULT section (closes #751).
",site.cfg.example
06c0d0e97c7781cc81be38c1d3124890822b303f,"Fix test of lstsqr to work with matrix tests.
Fix lstsq
",numpy/linalg/linalg.py,numpy/linalg/tests/test_linalg.py
8d915a55c5ecbca15ebaf13584b0c255d22768a1,"Add tests for matrix return types.
Fix cond computations for matrices.
lstsq is currently broken for matrices, will fix shortly.
",numpy/linalg/linalg.py,numpy/linalg/tests/test_linalg.py
82909417beb52eea0568fa04f54188ada227d66e,"Make functions in linalg.py accept nestes lists.
Use wrap to keep matrix environment intact.
Base patch from nmb.
",numpy/linalg/linalg.py,numpy/linalg/tests/test_linalg.py
a5b626c2915f3af4897a5a5bd5e29f815810b5c8,"Enclose macros with ifs in do {} while (0).
Lets try this again with clean files.
",numpy/core/include/numpy/ndarrayobject.h,numpy/core/include/numpy/ufuncobject.h
95235b9fe4587844f72aa7091733f6203875bde0,"Code style cleanups and fix for ticket #743.
Lets try this without corrupted merge files.
",numpy/core/src/arrayobject.c,numpy/core/src/multiarraymodule.c,numpy/core/src/ufuncobject.c
2634ce0819396e55c8ba0e3014c1c22cb722ddac,"Docstring fixes to fromnumeric, to better mirror ndarray docstrings.
",numpy/core/fromnumeric.py
58d85b4b65c2af0187c8049bf41e8834b8a36ffb,"Fix two typos in ndarray docstrings.
",numpy/add_newdocs.py
b660174661898c50139a0712322c997a6f7b118c,"Revert to 5092.
",numpy/core/include/numpy/ndarrayobject.h,numpy/core/include/numpy/ufuncobject.h
5924d3269887bc27bc5f1ddc5f16e27d12be70b8,"Rewrite most ndarray docstrings: RST-reformat old and add new ones.

Most of the docstrings are adapted from those of the functions in
core.fromnumeric. I edited the ndarray method docstrings to closely match
the function docstrings.

I didn't yet fix the discrepancy in ndarray.reshape and fromnumeric.reshape
docstrings re ValueError raising.
",numpy/add_newdocs.py
f4554bde29debde2d0b814d59c34c19d302580a9,"revert to 5092
",numpy/core/src/multiarraymodule.c
ced3ea354cb10a9c3878b64836e01cf49bce63fb,"Add semicolons to end of macros. This helps editors and such get the
formatting right. Do some small code cleanup.
",numpy/core/src/multiarraymodule.c
97f7b55e469c0e3792b602f5d00ab15ad16f00dc,"Sprinkle some do {} while (0) magic around macros with if statements. They
should lose the semi-colons too, but I don't want to risk breaking out of tree
code.
",numpy/core/include/numpy/ndarrayobject.h,numpy/core/include/numpy/ufuncobject.h
76d1305986ddcc07aad6bb38550fb06b1ca70be0,"Docstrings: correct description of `dtype` in prod, cumsum, cumprod (was OK in sum, product)
",numpy/core/fromnumeric.py
ba40bc530f9c6c0864cdf61a127d29644ca86cc2,"Docstrings in fromnumeric: very small fixes.
",numpy/core/fromnumeric.py
a7c3802ecc5261e28ec109ebbe836592730d53a4,"Docstring improvements for all, any, alltrue, sometrue, clip, compress + smaller stylistic changes to others.
",numpy/core/fromnumeric.py
319ff6a1df85ae9a7ef9a611ca31f90ab2ed5854,"Code style cleanups.
",numpy/core/src/arrayobject.c
1c89c150f154da809e82c038127d7db8d597225b,"histogram: an error is raised for varying bin widths only if normed=True.
",numpy/lib/function_base.py
b64dbce29b86a1ab206029ae397091e067645ad9,"Added an ignore warning in the test to avoid buildbot messages.
",numpy/lib/tests/test_function_base.py
bb61ebca77749343bea38bcc7e8eaaee667a4f02,"Fix to histogram with respect to block updating.a
",numpy/lib/function_base.py
c4119518e1c77d4699bdedc0f558797828dba1c3,"Modified histogram according to the discussion on the numpy ML.
This transitions from the old behavior to the new behavior using the new keyword.
",numpy/lib/function_base.py,numpy/lib/tests/test_function_base.py
bf6e7a7edb1c5173f1a3eb343fbd9e7b25445073,"Revert x[0][0] hack.
",numpy/core/defmatrix.py,numpy/core/tests/test_defmatrix.py
954e1411c794fa570657f2614912468fe1eabe27,"Add test for numeric type array creation from string values.
",numpy/core/tests/test_multiarray.py
9742ba43e617be68b9b68de5d886b03662b7db55,"Code style cleanups.
",numpy/core/src/scalartypes.inc.src
bbb83c0fe889e5b6c4eecda45b94617102d574f2,"Some cleanups
",numpy/core/src/arrayobject.c
8806030c6f06a39b830d029897fc539eea0d5a2b,"Fix ticket #736.
Try to cast strings numeric types when numbers needed.
",numpy/core/src/arrayobject.c
d78d0521093c70f66c1efbed9f1733782aa200f1,"Coding style cleanups.
",numpy/core/src/arrayobject.c
ceb47025332c1d2500ee0cb8f857ce0ded4a6e80,"removed tests/test_mstat and tests/test_morestats (now available in scipy)
",numpy/ma/tests/test_morestats.py,numpy/ma/tests/test_mstats.py
aefed7ecb1c5f19a1e5dbf426919288ba5fba369,"suppressed mstats and morestats: the modules are now part of scipy.stats
",numpy/ma/morestats.py,numpy/ma/mstats.py
e722d7d95323227b91419c0c92b3c188d205110c,"Fix conv_template to correctly handle nested loops with surrounding code.
Add some template debugging aids.
",numpy/distutils/conv_template.py
8e4c9e125cbe2c12380dffb7fa13d3432b9f7e35,"Add some section headings to the file.
",numpy/core/src/umathmodule.c.src
3e1ebbe5c6f41f27349481f3d9e5735ecd8fe5a4,"Add true nesting of loops to the template processing. The previous attempt
wasn't very useful. Loops can now be nested within each other using
/**begin repeat1 and /**end repeat1**/ and cousins, starting with the current
tags for the outermost loops.
",numpy/distutils/conv_template.py
5d954e2d60155787b9ac1841e5cc02380496bd99,"In C, you shouldn't have trailing commas on the last item in an enum.
",numpy/core/include/numpy/ndarrayobject.h
7b2239fbdfc7c5fdefdfd6eb59dc0ed500aa2291,"Hack to let x[0][0] return a scalar for matrices.
",numpy/core/defmatrix.py,numpy/core/tests/test_defmatrix.py
1da799e3541679475c63026dbe82f9840d33188b,"__float__ : raises a TypeError exception for arrays longer than 1
__int__   : raises a TypeError exception for arrays longer than 1
",numpy/ma/core.py,numpy/ma/tests/test_core.py,numpy/ma/tests/test_old_ma.py
1e3d6e6af36dad10ff4e59d425babc8f6568c9d7,"Add regression test for changeset #5065.
",numpy/core/tests/test_regression.py
1bb122619c2f10818f8d66c591e79fe6b4a9b3a2,"Fix double line in MANIFEST.in.
",MANIFEST.in
3063ef66633bb5c029b30791a2ca2cb09a692c91,"Add some files in MANIFEST.in which cannot be picked up by distutils.
",MANIFEST.in
5e879e5438cbd1338b89fd6224844289ed80bad4,"Does not replace g++ by c++ compiler name.
",numpy/distutils/command/scons.py
99f7707f80dafab4709fd4e833766a24a40ecfc7,"Add nested loops to the template processor.
The syntax is to separate the nested loops with lines containing strings
like

#repeat = 1#
#repeat = 2#
...

The number doesn't really matter, but it helps document the depth.

Example:

The file containing

/**begin repeat
 * # a = 1,2,3#
 * # b = 1,2,3#
 * # repeat = 1#
 * # c = 1,2#
 * # d = 1,2#
 */
@a@@b@@c@@d@
/**end repeat**/

produces


#line 1 ""template.c.src""

/*
 *****************************************************************************
 **       This file was autogenerated from a template  DO NOT EDIT!!!!      **
 **       Changes should be made to the original source (.src) file         **
 *****************************************************************************
 */

#line 8
1111

#line 8
1122

#line 8
2211

#line 8
2222

#line 8
3311

#line 8
3322


",numpy/distutils/conv_template.py
54b45e71fdf03556c39a27e53751d3199d21d64c,"Make None be NaN for float types.
",numpy/core/src/arraytypes.inc.src
0a6d8a6b0c44fcf58f126d060840d8a0baf7e240,"generate_umath.py: move chartoname higher for documentation purposes
(i.e., make it easier to answer the question, ""what's ? or M mean?"")
",numpy/core/code_generators/generate_umath.py
487612c85b7d23c81798e1cf71d39ac223204fd4,"Uncomment tests for PyUfunc_O_O_method and PyUFunc_OO_O_method.
",numpy/core/tests/test_ufunc.py
772b0dab26370a36c3774049ad50315fc953c07a,"Fix incorrect output types for some ufuncs.
This fixes ticket #747.
",numpy/core/code_generators/generate_umath.py
44b36da4d046838869605f742655c293eb2d204e,"Scons build: put builders creation into scons_support, and add action strings for silent modes.
",numpy/core/SConstruct,numpy/core/scons_support.py
a37458b57cda4d1eb242c740699d9bd76a03643b,"Do not show the whole scons command for silent modes.
",numpy/distutils/command/scons.py
9e68e5d18e4cb63a26a655a433d700bf61e0548f,"Do not specify target names for generated code, because it is not needed.
",numpy/core/SConstruct
b053e86e4df4ab367604f26907e058c0b0527c30,"Expand tab in core scons script.
",numpy/core/SConstruct
563656f8dfb6c290146b27d6e5ea422b6104b245,"Generic loop cleanup. Cut and pasted from template generated file.
",numpy/core/src/ufuncobject.c
462f65aab4800237ad5c2da675010856da4e945c,"mrecords: clean-up
core: MaskedArray.__setitem__ : when hardmask is False, force the data to be updated before the mask.
core: MaskedArray.round_ : fixed to keep the dates on TimeSeries
core: round : simplified
",numpy/ma/core.py,numpy/ma/mrecords.py,numpy/ma/tests/test_core.py
8c663313de36e860bbfea0909de181d330bfdfc7,"ran reindent in preparation for the 1.1 release
",numpy/__init__.py,numpy/add_newdocs.py,numpy/core/defmatrix.py,numpy/core/fromnumeric.py,numpy/core/memmap.py,numpy/core/numerictypes.py,numpy/core/tests/test_numerictypes.py,numpy/core/tests/test_regression.py,numpy/core/tests/test_scalarmath.py,numpy/distutils/cpuinfo.py,numpy/doc/newdtype_example/example.py,numpy/doc/newdtype_example/setup.py,numpy/lib/financial.py,numpy/lib/function_base.py,numpy/lib/index_tricks.py,numpy/lib/io.py,numpy/lib/tests/test__datasource.py,numpy/lib/tests/test_function_base.py,numpy/lib/tests/test_io.py,numpy/lib/tests/test_regression.py,numpy/lib/twodim_base.py,numpy/lib/utils.py,numpy/linalg/linalg.py,numpy/linalg/tests/test_regression.py,numpy/ma/core.py,numpy/ma/extras.py,numpy/ma/morestats.py,numpy/ma/mrecords.py,numpy/ma/mstats.py,numpy/ma/tests/test_core.py,numpy/ma/tests/test_extras.py,numpy/ma/tests/test_mrecords.py,numpy/ma/testutils.py,numpy/oldnumeric/compat.py,numpy/oldnumeric/ma.py,numpy/testing/utils.py
cb7de97f089b67eaacf37ddbebcfb91c292c0ef4,"Reverting r4481, see #723
",numpy/distutils/ccompiler.py
7592038573ef5396d401d623fe8012c09733e8ea,"Make the object loops tests less susceptiple to reference counting errors.
The tests are still counting errors, and I may change these back when they
are fixed.
",numpy/core/tests/test_ufunc.py
09a1d563ab75704005420ffc727910ed6a6b4fdb,"More clean up the generic object loops.
There is a reference counting error in the code that calls these loops.
",numpy/core/src/ufuncobject.c
8081338dbaa20fd2f5a073969ab658d9f398e196,"Cleanup code style in generic ufunc loops.
",numpy/core/src/ufuncobject.c
a4923caef62ee235f9c7e3f5df752b21262407ee,"Add tests for generic ufunct loops preparatory to some code cleanup.
Two tests currently fail and are commented out.

PyUFunc_O_O_method -- fails
PyUFunc_OO_O_method -- fails
",numpy/core/tests/test_ufunc.py
b4be3779d4f5d71863affebc3cd601520cc5c907,"Fixing #738: Even more careful drive letter handling. And make the tests actually pass on Windows.
",numpy/lib/_datasource.py,numpy/lib/tests/test__datasource.py
3888ac43981790e5bedf4b4c040e7373f724652f,"Fixing #738: remember to sanitize away also Windows drive letters
",numpy/lib/_datasource.py
5fc5deb1d60e83c9d15fb2f8d623dbef52751e3b,"Fix bug #738 and add corresponding tests.

lib._datasource.DataSource.abspath now sanitizes path names more carefully,
making sure that all file paths reside in destdir, also on Windows.  (Where
both '/' and os.sep function as path separators, as far as os.path.join is
concerned.)

",numpy/lib/_datasource.py,numpy/lib/tests/test__datasource.py
db8970d31304fe06bdef3abed9e95d8f67d2729f,"Fix bug in parsing initexpr in 'INTEGER, PARAMETER :: ny = nx + 2'
",numpy/f2py/crackfortran.py
376a36e792d160b1db7267c4a49edb39ef53c1bf,"Cleanup white space, fix a spelling, align some comments.
",numpy/core/src/arrayobject.c
2d69b480bae8f9045a6c9876e55f6d1a3216b05f,"Fast implementation of take [patch by Eric Firing].
",numpy/core/include/numpy/ndarrayobject.h,numpy/core/src/arraytypes.inc.src,numpy/core/src/multiarraymodule.c,numpy/core/tests/test_multiarray.py
44e4ead674e12013b4e34b5a99f545fab64116e3,"Add comments to numerictypes.py about what the 'kind' field of dtypes can be
(Also see the DtypesKind page on the numpy wiki)
",numpy/core/numerictypes.py
e653089a814b89dc73c08123ded75af4d3b37d17,"Correct dependency on missing code.
",numpy/testing/tests/test_utils.py,numpy/testing/utils.py
0d6981095ca7855eafa2118cf4a39baff16475c1,"De-obfuscate some test code.
",numpy/core/tests/test_multiarray.py
ddde39b22effbcd4799dc2dd4a229dcac0964205,"Don't require gzip or bz2 until the actual functionality is requested.
",numpy/lib/_datasource.py,numpy/lib/io.py,numpy/lib/tests/test__datasource.py
6e78d7dde1bc3f6247afde492bae4ae830e95d65,"Use the default terminal colour to print out INFO messages in distutils. 
